# Extracted from Russian Wiktionary/Kaikki; review before redistribution.
апанартъ	премудрость Соломона	
апанарєтосъ	книга премудрости Соломона	
апеллировать	юр. : подавать (подать) апелляцию	
апеллировать	использовать как аргумент в поддержку своей позиции	
апеллировать	обращаться (обратиться) за поддержкой, советом	
апилєосъ	месяц греческий	
аполоновъ	Аполлонов	
апонꙑ	плита	
апостолъ	то же, что апостол; каждый из двенадцати учеников Христа, в более широком смысле — любой христианин, проповедующий Евангелие	
апостолъ	перен. то же, что апостол; последователь, проповедник какого-либо учения, идеи и т. п	
апостолъ	то же, что апостол; богослужебная книга, часть Нового Завета	
апостольскъ	апостольский	
апостольство	апостольство	
апостольствовати	быть апостолом	
априлии	апрель	
априль	апрель	
апрѣль	апрель; четвёртый месяц календарного года	
аравиискъ	аравийский	
аравьскъ	аравийский	
арбовати	приносить языческие жертвы	
аргамакъ	дорогая азиатская лошадь	
арианьскъ	арианский	
аригъ	вретище	
арижьнꙑи	прилагательное от аригъ	
арина	волна	
ариѳметика	арифметика	
ариꙗньскъ	арианский	
аркобѹзъ	самопал	
армарии	поставец	
армєниискъ	армянский	
армєньскъ	армянский	
армѧкъ	комнатная мужская одежда	
армꙗкъ	ткань из верблюжьей шерсти	
армꙗчнꙑи	армячный	
ароматъ	благовоние	
артава	единица меры	
артємии	Артемий	
артємисии	один из месяцев по позднему греческому счёту, продолжавшийся от 24 марта по 24 апреля	
артєриꙗ	артерия	
артѹгъ	медная монета	
артѹсъ	хлеб квасной	
архангєловъ	прилагательное от архангєлъ	
архангєлъ	архангел	
архангєльскъ	архангельский	
архилаи	Архелай	
архимагєръ	старший повар	
архистратигъ	воевода	
архисюнагоговъ	принадлежащий архисинагогу	
архисѵнагоговъ	принадлежащий архисинагогу	
архисѵнагогъ	глава синагоги	
архиєрєискъ	первосвященнический	
архиєрѣискъ	первосвященнический	
арчакъ	остов седла	
аршинъ	мера длины делимая на 16 вершков	
аріергардъ	воен. арьергард	
арꙁаниньскъ	арзанийский	
асиискъ	азиатский	
аскъ	ящик	
аспида	змея	
ассарии	греко-римская монета	
астрологиꙗ	наука о звёздах	
астрологъ	звездочет	
астрономиꙗ	астрономия	
асьнꙑи	ясный	
асѵрии	ассириец	
асѵровъ	Асиров	
атанаиль	Атанаил	
ати	пусть	
атикисати	говорить по афинскому выговору	
атинꙑ	Афины	
атъ	пусть	
ать	пускай	
африкьскъ	африканский	
афродисиꙗ	празднества в честь Афродиты или Венеры у Римлян	
афєдронъ	задний проход	
ахатъ	агат	
ахаꙁъ	Ахаз	
ахикъ	сердолик	
ачєть	хотя	
ашѹть	тщетно	
ашѹть	без причины	
ашѹть	напрасно, тщетно	
ащєръ	ящерица	
аэропланъ	аэроплан; то же, что самолёт	
аєръ	воздух	
аєрьнъ	воздушный	
аєрьнꙑи	воздушный	
аєрьскꙑи	воздушный	
аѳанасии	Афанасий	
Аѳанасій	Афанасий; мужское имя	
Аѳины	Афины	
аѵдисотъ	Авдиссот	
аѵрилиꙗнъ	Аврелиан	
аѵрилиꙗнь	Аврелианов	
аѹгѹстъ	август	
аꙁаръ	Азор	
аꙁъ	я	
бааникъ	ворожея	
баба	замужняя женщина	
баба	бабушка	
бабей	вариант бабій	
бабии	бабий	
бабити	бабить	
бабичи	село Бабичи	
бабогѹръ	агат	
бабій	бабий	
багрити	багрити	
багровꙑи	багровый	
багроносьць	носящий одежду багряного цвета	
багръ	багряный	
багрєниѥ	окрашивание в багровый цвет	
багрꙗнородьнꙑи	родившийся в багрянице императора	
багъно	грязь	
багърити	багрить	
багъръ	пурпур	
багърѣница	багряница	
бадана	кольчуга	
бадати	колоть	
бадиꙗ	сосуд для питья	
базаръ	рынок	
баиборода	прозвище	
баидакъ	вид судна	
баидана	кольчуга	
баинѧ	баня	
балбесъ	разг. пренебр. балбес	
балии	врач	
балиискъ	обаятельный	
балиꙗ	врач	
балка	бревно	
балованиѥ	лечение	
баловати	врачевать	
балъ	бал	
балъванъ	столб	
балътина	водосточная яма	
бальзамированіе	бальзамирование	
бальнꙑи	банный	
бальство	лекарство	
бальство	лечение	
Бангкокъ	Бангкок; столица и самый крупный город Таиланда	
банити	мыть	
банкъ	банк	
бановьна	дочь бана	
бантъ	бант	
банъ	бан	
баньнꙑи	банный	
баньскъ	банный	
баньскꙑи	банный	
баньчиꙗ	банная	
банѧ	водный источник (преимущественно тёплый)	
банѧ	баня, помещение, где моются и парятся	
банѧ	мытье	
банꙗ	баня	
банꙗ	баня, банное помещение	
банꙗ	перен. омовение; крещение	
бара	болото	
баралищє	место битвы	
бараней	вариант бараній	
бараниѥ	борение	
баранъ	баран	
бараній	бараний	
барати	бороть	
барашь	шатёрничий	
бармꙑ	оплечье великокняжеское со священными изображениями	
барсучей	вариант барсучій	
барсучій	барсучий	
барсъ	подстилка для саней	
бархатити	бархатить	
бархатъ	ткань шёлковая или бумажная	
бархатєль	бумажный бархат	
баскакъ	областной правитель, поставленный ханом, преимущественно для собирания дани	
баскачьство	звание баскака	
басма	изображение хана	
басмакъ	баскак	
баснити	рассказывать сказки	
басновати	выдумывать, говорить басни	
баснословити	рассказывать сказки	
баснотворьць	составитель сказок	
баснь	обаяние	
баснь	сказка	
батати	колотить	
батманъ	единица веса	
батогъ	бич	
батько	отец	
батѧ	отец	
бахматъ	конь	
бахрама	тесьма с мохрами	
башмакъ	башмак	
башьнѧ	башня	
баѹсъ	драгоценный камень	
баꙗнъ	обаятель	
баꙗти	рассказывать сказки	
бдеющей	вариант бдеющій	
бдѣніе	бдение	
бдѣть	бдеть	
безаконьнѣ	безбожно	
безгодьнѣ	не вовремя, несвоевременно	
бездобь	напрасно, тщетно	
безлѣтьнъ	нестареющий	
безначѧльно	без начала	
безпокоиться	беспокоиться	
безпокоясь	дееприч. от безпокоиться	
безславящій	бесславящий	
безсмертіе	бессмертие	
безсточность	свойство или состояние по значению прилагательного безсточный	
безсточный	не имеющий стока	
безчестіе	бесчестие	
безъ	то же, что без; в отсутствие	
безъ	то же, что без; за вычетом	
безѹмль	безумный	
берегъ	берег	
беречись	беречься	
беручи	дееприч. от брать	
берущій	берущий	
бесплътьно	бесплатно	
беспрѣстани	беспрестанно, постоянно	
бесрамиѥ	бесстыдство	
бесрамъкъ	бесстыдник	
бесрамьнъ	бесстыдный	
бестѹдьнѣ	бесстыдно	
бесѣда	беседа	
беꙁградьникъ	человек без родины	
беꙁдъна	бездна	
бивати	бить	
бивати	убивать	
биволъ	буйвол	
бивьливꙑи	драчливый	
бивьца	драчун	
биица	драчун	
било	ударяющее орудие	
бильнꙑи	прилагательное от било	
бильцо	уменьшительное от било	
бинчаи	название смолы из дерева	
биричь	полицейский чиновник	
бирюза	бирюза	
бирюзка	уменьшительное от бирюза	
бисквитъ	кулин. то же, что бисквит; кондитерское выпечное изделие, тесто для которого готовится из муки, сахара и взбитых яиц	
бисквитъ	то же, что бисквит; непокрытый глазурью фарфор	
бисъръ	вариант бисьръ	
бисьръ	жемчуг, жемчужина	
бисєръ	вариант бисьръ	
бити	бить	
битливꙑи	драчливый	
бичь	бич	
бичьнꙑи	прилагательное от бичь	
биющій	бьющий	
биясь	дееприч. от биться	
биѥниѥ	бичевание	
благо	добро	
благобоꙗзнь	смирение	
благоволеніе	благоволение	
благоволивꙑи	благодушный	
благоволити	благоволить	
благоволѥниѥ	благоволение	
благоволѥно	благосклонно	
благовониѥ	благовоние	
благовоньнъ	благовонный	
благоврѣмєньнъ	уместный	
благовъгодьнъ	угодный	
благовѣриѥ	благочестие	
благовѣрьнъ	благочестивый	
благовѣрьнѣ	благочестиво	
благовѣствовавшій	благовествовавший	
благовѣствованіе	благовествование	
благовѣстити	возвестить (добрую весть)	
благовѣстовати	возвещать	
благовѣсть	евангелист	
благовѣстіе	благовестие	
благовѣщати	возвещать	
благовѣщєниѥ	евангелие	
благоглаголивꙑи	красноречивый	
благоговѣніе	благоговение	
благоговѣющій	благоговеющий	
благоголѣньнъ	крепкие ноги имебщий	
благодавьць	благодетель	
благодареніе	благодарение	
благодарити	благодарить	
благодаровати	благодарить	
благодарьникъ	благодетель	
благодарьствити	благодарить	
благодарьствовати	благодарить	
благодарьствьно	с благодарностью	
благодарьствьнъ	благодарственный	
благодарьствьнѣ	с благодарностью	
благодарьць	благодарный	
благодаряй	благодарящий	
благодарѥниѥ	благодарение	
благодати	оказать благодеяние	
благодатиѥ	благодать	
благодатной	вариант благодатный	
благодать	благодать	
благодатьникъ	благодетель	
благодатьникъ	тот, кто оказывает милость	
благодатьнъ	благодатный	
благодатьствовати	благодетельствовать	
благодатєль	благодетель	
благодѣть	дар	
благодѣть	благодать	
благодѣтьнъ	благодатный	
благодѣтєль	тот, кто делает добро	
благодѣтєль	благодетель	
благодѣꙗниѥ	благодеяние	
благодѣꙗти	делать добро	
благодѹшиѥ	душевное спокойствие	
благодѹшьно	благодушно	
благодѹшьнѣ	радостно	
благожитиѥ	счастливая жизнь	
благозакониѥ	законодательство	
благоизволити	соизволить	
благоиспꙑтаниѥ	старательность	
благоиꙁволити	благоволить	
благоиꙁвольнъ	знаменитый	
благоиꙁволѥниѥ	добродетель	
благокорєньнъ	благородный	
благоложьно	в хорошем состоянии	
благолюбьць	любящий добро	
благолѣпота	приличие	
благолѣпьнъ	прекрасный	
благомилостивꙑи	милосердный	
благомыслящій	благомыслящий	
благонравиѥ	добродетель	
благообразиѥ	благоприличие	
благообразьно	добропорядочно	
благообраꙁьнъ	почтенный	
благопослѹшивꙑи	послушный	
благопоспѣшити	содействовать успеху	
благоприимичьнъ	удобный	
благоприлєжьнъ	усердный	
благопристꙋпаниѥ	служение	
благоприѩтьнъ	приятный	
благоразумной	вариант благоразумный	
благоразуміе	благоразумие	
благорасположеніе	благорасположение	
благорастворѥниѥ	соединение	
благородивꙑи	благородный	
благородиѥ	хороший сад	
благородиѥ	благородство	
благородьнъ	благородный	
благородьнꙑи	благородный	
благородьство	доблесть	
благославиѥ	слава	
благословеніе	благословение	
благословившій	благословивший	
благословити	благословлять	
благословити	благословлять / благословить; восхвалить / восхвалять	
благословляющій	благословляющий	
благословлѥниѥ	благословение	
благословлѥнъ	благословенный	
благословлꙗти	благословлять	
благословєниѥ	благословение	
благословєсити	благословить	
благословєствьнъ	восхваленный	
благословєстити	восхвалить	
благословєсьнъ	благословенный	
благословєщвлѥниѥ	благословение	
благословєщєниѥ	благословение	
благословѧ	благословляющий	
благость	добродетель	
благость	доброта	
благостьнъ	милостивый	
благостьствовати	оказать благость	
благостꙑни	доброта	
благосъдѣланиѥ	доброе дело	
благосътворити	сделать добро	
благота	благость	
благотворивъ	делающий добро	
благотворити	благотворить	
благотворити	благодетельствовать	
благотворьць	благодетель	
благотворящій	благотворящий	
благоугожденіе	благоугождение	
благоуханіе	благоухание	
благохвалимꙑи	благодарный	
благохвалити	восхвалять	
благохꙋдожьство	изобретательность	
благочадити	рожать хороших детей	
благочестіе	благочестие	
благочиниѥ	стремление к благоустройству	
благочинѥниѥ	надлежащее устройство	
благочьстивъ	благочестивый	
благочьстиѥ	благочестие	
благочьстовати	быть благочестивым	
благочьстьно	благочестиво	
благочьстьно	набожно, благочестиво	
благочьстьнъ	благочестивый	
благочьстьнѣ	благочестиво	
благоѫханиѥ	благоухание	
благоѫханьнъ	ароматный	
благоѹгодити	быть угодным	
благоꙋхнꙋти	благоухать	
благъ	добрый	
благій	благий	
благꙑи	добрый	
благꙑни	доброта	
блажащийся	прич. от блажиться	
блажити	восхвалять	
блажиться	предаваться блаженству	
блажнєниѥ	соблазн	
блажьнъ	блаженный	
блажєникъ	праведник	
блажєникъ	блаженный	
блажєниѥ	милость	
блажєнъ	блаженный	
блажєньствиѥ	похвала	
блажєньство	блаженство	
блазна	соблазн	
блазнити	соблазнять	
блазнитєль	обманщик	
блазнъ	соблазн	
блазнь	заблуждение	
блазньба	соблазн	
блазньнꙑи	ошибочный	
блазнꙑи	опасный	
блазовати	кичиться	
блазѣ	[хорошо	
блана	детское место	
блатина	плотина	
блато	болото	
блаꙁна	ошибка	
блаꙁнити	соблазнять	
блаꙁньнъ	заблуждающийся	
блестящій	блестящий	
блидивꙑи	опьянелый	
ближаи	наиболее близкий	
ближии	наиболее близкий родственник	
ближика	родственик	
ближика	родственник; ближний, близкий	
ближичьство	приближённость	
ближній	ближний	
ближьнии	родственный	
ближьника	родственник	
ближьникъ	родственник	
ближєниѥ	близость	
ближѣишии	близкий	
близлежащій	близлежащий	
близна	рубец	
близно	близко	
близньствовати	родить близнецов	
близньць	близнец	
близнѧ	близнецы	
близока	свойственница	
близокъ	свойственник	
близъ	близость	
близъ	близко	
близъ	близко; вблизи	
блинной	вариант блинный	
блинъ	лепёшка	
блисканиѥ	блистание	
блискъ	молния	
блистальница	блистающая звезда	
блистаниѥ	сверкание	
блистаніе	блистание	
блистательной	вариант блистательный	
блистати	сиять	
блистающій	блистающий	
блисцаниѥ	сияние	
блисцати сѧ	блистать	
блиꙁньць	Близнец	
блиꙁньчьнъ	двойной	
блиꙁъкъ	близкий	
блудникъ	блудник	
блудодѣйствовавшій	блудодействовавший	
